,Compound,Date,Negative,Neutral,Positive,Tweets Ago
74,0.2023,Sun Apr 08 04:01:27 +0000 2018,0.833,0.0,0.167,75
75,0.0,Sun Apr 08 04:01:26 +0000 2018,1.0,0.0,0.0,76
76,0.0,Sun Apr 08 04:01:26 +0000 2018,1.0,0.0,0.0,77
77,0.0,Sun Apr 08 04:01:25 +0000 2018,1.0,0.0,0.0,78
78,0.0,Sun Apr 08 04:01:24 +0000 2018,1.0,0.0,0.0,79
79,0.0,Sun Apr 08 04:01:24 +0000 2018,1.0,0.0,0.0,80
80,0.0258,Sun Apr 08 04:01:22 +0000 2018,0.623,0.187,0.19,81
81,0.0,Sun Apr 08 04:01:22 +0000 2018,1.0,0.0,0.0,82
82,0.4215,Sun Apr 08 04:01:21 +0000 2018,0.859,0.0,0.141,83
83,0.2732,Sun Apr 08 04:01:21 +0000 2018,0.725,0.109,0.166,84
84,0.0,Sun Apr 08 04:01:21 +0000 2018,1.0,0.0,0.0,85
85,0.0,Sun Apr 08 04:01:21 +0000 2018,1.0,0.0,0.0,86
86,0.0,Sun Apr 08 04:01:21 +0000 2018,1.0,0.0,0.0,87
87,-0.4767,Sun Apr 08 04:01:20 +0000 2018,0.795,0.205,0.0,88
88,0.2732,Sun Apr 08 04:01:19 +0000 2018,0.896,0.0,0.104,89
89,0.1779,Sun Apr 08 04:01:17 +0000 2018,0.496,0.223,0.281,90
90,0.2003,Sun Apr 08 04:01:15 +0000 2018,0.527,0.0,0.473,91
91,0.5267,Sun Apr 08 04:01:15 +0000 2018,0.764,0.0,0.236,92
92,0.0,Sun Apr 08 04:01:11 +0000 2018,1.0,0.0,0.0,93
93,0.0,Sun Apr 08 04:01:11 +0000 2018,1.0,0.0,0.0,94
94,-0.4939,Sun Apr 08 04:01:11 +0000 2018,0.594,0.276,0.129,95
95,0.1779,Sun Apr 08 04:01:11 +0000 2018,0.496,0.223,0.281,96
96,0.0,Sun Apr 08 04:01:10 +0000 2018,1.0,0.0,0.0,97
97,0.0,Sun Apr 08 04:01:09 +0000 2018,1.0,0.0,0.0,98
98,0.0,Sun Apr 08 04:01:09 +0000 2018,1.0,0.0,0.0,99
99,0.0,Sun Apr 08 04:01:09 +0000 2018,1.0,0.0,0.0,100
100,0.0,Sun Apr 08 04:02:32 +0000 2018,1.0,0.0,0.0,101
101,0.0,Sun Apr 08 04:02:30 +0000 2018,1.0,0.0,0.0,102
102,0.0,Sun Apr 08 04:02:24 +0000 2018,1.0,0.0,0.0,103
103,0.34,Sun Apr 08 04:02:11 +0000 2018,0.902,0.0,0.098,104
104,0.0,Sun Apr 08 04:01:55 +0000 2018,1.0,0.0,0.0,105
105,0.0,Sun Apr 08 04:01:54 +0000 2018,1.0,0.0,0.0,106
106,0.0,Sun Apr 08 04:01:52 +0000 2018,1.0,0.0,0.0,107
107,0.34,Sun Apr 08 04:01:50 +0000 2018,0.897,0.0,0.103,108
108,0.0,Sun Apr 08 04:01:49 +0000 2018,1.0,0.0,0.0,109
109,0.0,Sun Apr 08 04:01:47 +0000 2018,1.0,0.0,0.0,110
110,0.34,Sun Apr 08 04:01:45 +0000 2018,0.902,0.0,0.098,111
111,0.0,Sun Apr 08 04:01:43 +0000 2018,1.0,0.0,0.0,112
112,0.0,Sun Apr 08 04:01:41 +0000 2018,1.0,0.0,0.0,113
113,-0.5859,Sun Apr 08 04:01:39 +0000 2018,0.833,0.167,0.0,114
114,0.7269,Sun Apr 08 04:01:38 +0000 2018,0.747,0.0,0.253,115
115,0.0,Sun Apr 08 04:01:38 +0000 2018,1.0,0.0,0.0,116
116,0.0,Sun Apr 08 04:01:37 +0000 2018,1.0,0.0,0.0,117
117,0.0,Sun Apr 08 04:01:36 +0000 2018,1.0,0.0,0.0,118
118,0.34,Sun Apr 08 04:01:34 +0000 2018,0.902,0.0,0.098,119
119,0.0,Sun Apr 08 04:01:34 +0000 2018,1.0,0.0,0.0,120
120,0.6124,Sun Apr 08 04:01:31 +0000 2018,0.762,0.0,0.238,121
121,0.296,Sun Apr 08 04:01:21 +0000 2018,0.891,0.0,0.109,122
122,0.0,Sun Apr 08 04:01:13 +0000 2018,1.0,0.0,0.0,123
123,0.0,Sun Apr 08 04:01:10 +0000 2018,1.0,0.0,0.0,124
124,0.34,Sun Apr 08 04:01:09 +0000 2018,0.902,0.0,0.098,125
125,0.0,Sun Apr 08 04:01:08 +0000 2018,1.0,0.0,0.0,126
126,0.2732,Sun Apr 08 04:01:06 +0000 2018,0.861,0.0,0.139,127
127,0.0,Sun Apr 08 04:00:45 +0000 2018,1.0,0.0,0.0,128
128,0.2732,Sun Apr 08 04:00:44 +0000 2018,0.916,0.0,0.084,129
129,0.34,Sun Apr 08 04:00:41 +0000 2018,0.902,0.0,0.098,130
130,0.0,Sun Apr 08 04:00:32 +0000 2018,1.0,0.0,0.0,131
131,0.0,Sun Apr 08 04:00:30 +0000 2018,1.0,0.0,0.0,132
132,0.34,Sun Apr 08 04:00:26 +0000 2018,0.902,0.0,0.098,133
133,0.4019,Sun Apr 08 04:00:12 +0000 2018,0.863,0.0,0.137,134
134,-0.128,Sun Apr 08 04:00:10 +0000 2018,0.936,0.064,0.0,135
135,0.5106,Sun Apr 08 04:00:04 +0000 2018,0.858,0.0,0.142,136
136,0.34,Sun Apr 08 04:00:03 +0000 2018,0.902,0.0,0.098,137
137,0.3182,Sun Apr 08 04:00:01 +0000 2018,0.887,0.0,0.113,138
138,-0.296,Sun Apr 08 04:00:00 +0000 2018,0.784,0.216,0.0,139
139,-0.4995,Sun Apr 08 03:59:59 +0000 2018,0.474,0.366,0.159,140
140,0.0,Sun Apr 08 03:59:56 +0000 2018,1.0,0.0,0.0,141
141,-0.5859,Sun Apr 08 03:59:54 +0000 2018,0.833,0.167,0.0,142
142,0.4019,Sun Apr 08 03:59:54 +0000 2018,0.863,0.0,0.137,143
143,0.34,Sun Apr 08 03:59:53 +0000 2018,0.902,0.0,0.098,144
144,-0.0572,Sun Apr 08 03:59:48 +0000 2018,0.936,0.064,0.0,145
145,0.7769,Sun Apr 08 03:59:44 +0000 2018,0.676,0.047,0.276,146
146,0.0,Sun Apr 08 03:59:38 +0000 2018,1.0,0.0,0.0,147
147,0.0,Sun Apr 08 03:59:33 +0000 2018,1.0,0.0,0.0,148
148,0.0,Sun Apr 08 03:59:32 +0000 2018,1.0,0.0,0.0,149
149,0.34,Sun Apr 08 03:59:29 +0000 2018,0.902,0.0,0.098,150
150,0.296,Sun Apr 08 03:59:28 +0000 2018,0.896,0.0,0.104,151
151,0.34,Sun Apr 08 03:59:23 +0000 2018,0.902,0.0,0.098,152
152,0.0,Sun Apr 08 03:59:11 +0000 2018,1.0,0.0,0.0,153
153,-0.4995,Sun Apr 08 03:59:09 +0000 2018,0.474,0.366,0.159,154
154,0.0,Sun Apr 08 03:59:09 +0000 2018,1.0,0.0,0.0,155
